worker_id,email,job_type,skills,job_date,start_time,end_time,province,district,subdistrict,start_salary,range_salary
W001,brenthicks@hotmail.com,พนักงานขับรถ,GPS;ขับรถตู้,2025-03-14,08:00:00,16:00:00,กรุงเทพมหานคร,บางเขน,ทุ่งสองห้อง,558,834
W002,allenroberto@spencer.info,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-03-18,08:00:00,16:00:00,กรุงเทพมหานคร,บางเขน,ทุ่งสองห้อง,542,895
W003,joshuarodgers@yahoo.com,พนักงานขับรถ,GPS;ขับรถตู้,2025-04-06,08:00:00,16:00:00,กรุงเทพมหานคร,บางเขน,ทุ่งสองห้อง,623,970
W004,shannonshields@waters.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-04-03,08:00:00,16:00:00,กรุงเทพมหานคร,บางเขน,ทุ่งสองห้อง,575,993
W005,frank48@wilson.info,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-01-18,08:00:00,16:00:00,กรุงเทพมหานคร,บางเขน,ทุ่งสองห้อง,621,942
W006,michael58@rice.com,พนักงานขับรถ,GPS;ขับรถตู้,2025-06-07,08:00:00,16:00:00,เชียงใหม่,เมืองเชียงใหม่,ท่าศาลา,664,873
W007,louis72@smith.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-07-10,08:00:00,16:00:00,สมุทรปราการ,เมืองสมุทรปราการ,บางโปรง,745,972
W008,patricia67@swanson.com,พนักงานขับรถ,GPS;ขับรถส่งของ,2025-06-02,08:00:00,16:00:00,ขอนแก่น,เมืองขอนแก่น,หนองแวง,634,955
W009,daniel56@wilson.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-05-25,08:00:00,16:00:00,ปทุมธานี,เมืองปทุมธานี,บางคูวัด,700,1000
W010,kayla43@king.com,พนักงานขับรถ,GPS;ขับรถตู้,2025-03-20,08:00:00,16:00:00,เชียงใหม่,หางดง,ป่าแดด,799,1012
W011,tasha94@black.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-05-17,08:00:00,16:00:00,ชลบุรี,เมืองชลบุรี,หนองชาก,712,1021
W012,ellen32@outlook.com,พนักงานขับรถ,GPS;ขับรถบรรทุก,2025-06-12,08:00:00,16:00:00,นครราชสีมา,เมืองนครราชสีมา,ในเมือง,670,931
W013,maria45@news.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-07-25,08:00:00,16:00:00,กระบี่,เมืองกระบี่,หนองทะเล,760,1062
W014,jennifer63@lee.com,พนักงานขับรถ,GPS;ขับรถส่งของ,2025-08-01,08:00:00,16:00:00,สุราษฎร์ธานี,เมืองสุราษฎร์,ตลาดใหม่,698,941
W015,john80@martin.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-05-15,08:00:00,16:00:00,พิษณุโลก,เมืองพิษณุโลก,ในเมือง,730,1015
W016,steve@outlook.com,พนักงานขับรถ,GPS;ขับรถบรรทุก,2025-07-30,08:00:00,16:00:00,อุดรธานี,เมืองอุดรธานี,หนองบัว,678,960
W017,george27@web.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-08-04,08:00:00,16:00:00,อำนาจเจริญ,เมืองอำนาจเจริญ,หนองเม็ก,740,1040
W018,robert95@live.com,พนักงานขับรถ,GPS;ขับรถส่งเอกสาร,2025-06-22,08:00:00,16:00:00,นครศรีธรรมราช,เมืองนครศรีธรรมราช,ท่าศาลา,690,975
W019,emily87@brown.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-05-30,08:00:00,16:00:00,สุโขทัย,เมืองสุโขทัย,บ้านสวน,650,905
