job_id,email,job_type,job_detail,job_date,start_time,end_time,province,district,subdistrict,salary
J001,michelle01@gmail.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-07-15,08:00:00,17:00:00,กรุงเทพมหานคร,ลาดพร้าว,วังทองหลาง,1200
J002,christophergraves@wu-diaz.info,แม่บ้าน,ทำความสะอาดสำนักงาน,2025-06-17,08:30:00,17:30:00,เชียงใหม่,หางดง,ป่าแดด,900
J003,kiara88@gmail.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-08-21,09:00:00,18:00:00,สมุทรปราการ,เมืองสมุทรปราการ,เทพารักษ์,1300
J004,michael74@gmail.com,แม่บ้าน,ทำความสะอาดสำนักงาน,2025-09-03,08:00:00,17:00:00,เชียงใหม่,ดอยสะเก็ด,แม่คือ,1000
J005,tgonzalez@hotmail.com,แม่บ้าน,ทำความสะอาดสำนักงาน,2025-10-10,08:30:00,17:30:00,สุราษฎร์ธานี,เมืองสุราษฎร์,ตลาดใหม่,1500
J006,ericbaker@yahoo.com,พนักงานขับรถ,ขับรถบรรทุกสินค้า,2025-07-12,08:00:00,17:00:00,ชลบุรี,บางละมุง,หนองปรือ,800
J007,louis08@gmail.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-06-05,09:00:00,17:00:00,นครราชสีมา,เมืองนครราชสีมา,ในเมือง,1100
J008,patricia74@outlook.com,พนักงานขับรถ,ขับรถส่งของ,2025-05-18,09:00:00,17:00:00,นนทบุรี,บางบัวทอง,บางพลู,950
J009,daniel91@icloud.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-07-02,09:00:00,17:00:00,เชียงราย,เมืองเชียงราย,รอบเวียง,1400
J010,kayla94@gmail.com,พนักงานขับรถ,ขับรถบรรทุกสินค้า,2025-06-25,08:30:00,17:30:00,พัทยา,บางละมุง,นาเกลือ,1300
J011,tasha34@outlook.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-05-10,09:00:00,17:00:00,สงขลา,หาดใหญ่,หาดใหญ่,1250
J012,ellen22@aol.com,พนักงานขับรถ,ขับรถส่งของ,2025-06-14,09:00:00,17:00:00,ลพบุรี,เมืองลพบุรี,ในเมือง,1050
J013,mariajones@msn.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-08-30,09:00:00,17:00:00,ปทุมธานี,เมืองปทุมธานี,ลาดหลุมแก้ว,1150
J014,jennifer80@yahoo.com,พนักงานขับรถ,ขับรถบรรทุกสินค้า,2025-07-20,08:00:00,17:00:00,ระยอง,เมืองระยอง,ตะพง,700
J015,johnsmith@google.com,แม่บ้าน,ทำความสะอาดสำนักงาน,2025-09-14,09:00:00,17:00:00,นครสวรรค์,เมืองนครสวรรค์,ท่าตะโก,1350
J016,steve@msn.com,พนักงานขับรถ,ขับรถส่งของ,2025-05-05,09:00:00,17:00:00,ขอนแก่น,เมืองขอนแก่น,หนองแวง,950
J017,george59@outlook.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-06-22,08:00:00,17:00:00,สุรินทร์,เมืองสุรินทร์,ศรีณรงค์,1400
J018,robert77@icloud.com,พนักงานขับรถ,ขับรถบรรทุกสินค้า,2025-08-17,09:00:00,17:00:00,นครปฐม,เมืองนครปฐม,พระประโทน,800
J019,emily35@yahoo.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-10-13,09:00:00,17:00:00,มหาสารคาม,เมืองมหาสารคาม,เกิ้ง,950
J020,william82@outlook.com,พนักงานขับรถ,ขับรถส่งของ,2025-05-27,08:30:00,17:30:00,เพชรบุรี,เมืองเพชรบุรี,ท่ายาง,1200
J021,megan83@outlook.com,แม่บ้าน,ทำความสะอาดสำนักงาน,2025-06-01,09:00:00,17:00:00,อุดรธานี,เมืองอุดรธานี,หนองบัว,1150
J022,daniel48@msn.com,พนักงานขับรถ,ขับรถบรรทุกสินค้า,2025-09-04,08:30:00,17:30:00,บุรีรัมย์,เมืองบุรีรัมย์,หนองตาโล,700
J023,olivia72@icloud.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-01-12,09:00:00,17:00:00,เพชรบูรณ์,เมืองเพชรบูรณ์,วังทอง,1300
J024,kimberly14@gmail.com,พนักงานขับรถ,ขับรถส่งของ,2025-04-14,09:00:00,17:00:00,พะเยา,เมืองพะเยา,ทุ่งฮั้ว,1100
J025,carol15@aol.com,แม่บ้าน,ทำความสะอาดสำนักงาน,2025-06-02,09:00:00,17:00:00,นนทบุรี,เมืองนนทบุรี,บางบัวทอง,900
J026,elizabeth87@google.com,พนักงานขับรถ,ขับรถบรรทุกสินค้า,2025-02-21,09:00:00,17:00:00,เชียงใหม่,หางดง,ป่าแดด,800
J027,brianna99@gmail.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-03-30,09:00:00,17:00:00,กระบี่,เมืองกระบี่,หนองทะเล,1200
J028,jason11@aol.com,พนักงานขับรถ,ขับรถส่งของ,2025-01-23,09:00:00,17:00:00,กาญจนบุรี,เมืองกาญจนบุรี,ไทรโยค,950
J029,heather72@msn.com,แม่บ้าน,ทำความสะอาดห้องพัก,2025-04-25,09:00:00,17:00:00,ชัยนาท,เมืองชัยนาท,ท่าหลวง,1250
J030,aaron93@outlook.com,พนักงานขับรถ,ขับรถบรรทุกสินค้า,2025-05-28,09:00:00,17:00:00,มุกดาหาร,เมืองมุกดาหาร,นาสี,850
